sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3726,0.0079198,0.32298782,0.00114962,0.8337,1,247.4632,22.09,3472.0
2739,0.00213885,0.30422297,0.0092679,0.239,0,927.0,0.0,1147.0
2990,0.01732551,0.46611958,0.00553317,1.2638,0,2808.3089,8.03,17896.0
791,0.01603677,0.68750622,0.0080445,0.7931,0,804.0,0.0,5450.0
3931,0.0194755,0.2943843,0.00873884,2.2493,0,9387.7819,11.04,45749.0
2171,0.00663903,0.28065652,0.00861061,0.8043,1,861.0,0.0,6368.0
853,0.01627207,0.38828867,0.00639915,1.4248,0,3127.6213,12.05,22689.0
2751,0.00745124,0.44474694,0.00382598,0.5696,0,383.0,0.0,1695.0
2089,0.01396149,0.2024277,0.00476111,2.345,0,10803.849,16.06,48663.0
370,0.00613878,0.14622167,0.0044227,1.4274,0,3295.6624,34.14,22916.0
1206,0.01001734,0.44998517,0.00382343,0.7569,0,382.0,0.0,3850.0
3665,0.00718475,0.92301307,0.00382029,0.2647,0,382.0,0.0,486.0
1601,0.00771071,0.75469345,0.00163297,0.3474,0,163.0,0.0,217.0
1686,0.00331246,0.76126435,0.00083878,0.1479,0,84.0,0.0,86.0
2952,0.01491919,0.84143067,0.00422673,0.6028,0,423.0,0.0,1090.0
944,0.01441489,0.46350308,0.00599299,1.0574,1,1083.9362,10.04,10018.0
2172,0.00422991,0.10188742,0.00614516,1.4115,0,3497.3205,39.16,22408.0
1458,0.0185603,0.76348875,0.00780448,0.8265,1,780.0,0.0,5048.0
3132,0.00651872,0.57441169,0.00758459,0.3858,0,758.0,0.0,1098.0
608,0.00187156,0.79549665,0.00209517,0.08,0,210.0,0.0,218.0
1036,0.00818295,0.75574273,0.00076663,0.3681,0,77.0,0.0,105.0
2506,0.00054252,0.39911986,0.00237336,0.0462,0,237.0,0.0,247.0
1459,0.00527242,0.81911818,0.00882651,0.2188,0,883.0,0.0,1055.0
2337,0.00082068,0.74914986,0.00940322,0.0372,0,940.0,0.0,962.0
537,0.00238359,0.81119278,0.00234863,0.0999,0,235.0,0.0,257.0
1335,0.00252754,0.62513123,0.00961082,0.1375,0,961.0,0.0,1061.0
2542,0.01321134,0.4650059,0.00430028,0.966,1,883.01,10.04,8800.0
3485,0.01792924,0.66856475,0.00518224,0.9118,1,875.4844,8.03,7844.0
1195,0.01822437,0.73721957,0.00436928,0.8405,1,476.3144,6.02,5057.0
3211,0.01419239,0.82060439,0.00822845,0.588,0,823.0,0.0,3170.0
1872,0.01281004,0.28433185,0.00366838,1.5318,0,4333.5713,16.06,25900.0
144,0.01606358,0.34050311,0.00348685,1.604,0,4028.5147,14.06,26635.0
1691,0.01931795,0.85821285,0.00170328,0.7653,0,221.2397,5.02,2911.0
2428,0.00295871,0.48281326,0.00521185,0.2084,0,521.0,0.0,584.0
2829,0.00601766,0.17165039,0.00034713,1.192,1,1474.7814,83.33,13719.0
1467,0.00353493,0.71615518,0.00433404,0.1678,0,433.0,0.0,486.0
2110,0.00686871,0.82059655,0.00409353,0.2846,0,409.0,0.0,495.0
1170,0.01892477,0.54085857,0.00170725,1.1897,1,2185.7894,9.04,14560.0
2347,0.00125998,0.63211252,0.00366109,0.0678,0,366.0,0.0,379.0
152,0.01698877,0.69373814,0.00295211,0.8326,1,350.3732,12.05,5315.0
964,0.00471255,0.64938483,0.00644939,0.2467,0,645.0,0.0,779.0
879,0.01782156,0.21404089,0.00210208,2.8309,0,14523.933,14.06,58149.0
464,0.00591839,0.87351577,0.00404579,0.2304,0,405.0,0.0,518.0
1599,0.01229486,0.83371104,0.00272194,0.5014,0,272.0,0.0,545.0
1122,0.00631464,0.62213725,0.00535827,0.3451,0,536.0,0.0,776.0
3622,0.00784484,0.84471742,0.00296577,0.3158,0,297.0,0.0,413.0
2521,0.00600155,0.41717403,0.00717513,0.4891,0,718.0,0.0,1242.0
2479,0.00788242,0.85442078,0.00479981,0.3137,0,480.0,0.0,640.0
1213,0.01808801,0.98317008,0.00783141,0.6255,0,783.0,0.0,2411.0
2005,0.00172438,0.64280131,0.00204447,0.0912,0,204.0,0.0,213.0
945,0.01579775,0.7159084,0.00821748,0.7503,0,822.0,0.0,4917.0
2664,0.0159352,0.62681507,0.00844733,0.8644,1,845.0,0.0,6527.0
455,0.01232435,0.34984794,0.00359492,1.1977,1,1953.4357,15.06,15202.0
