sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0.008863494739447066,0.47161092288103085,0.005017199033464195,0.639,502.0,0.0,2625.0,0.02625,0
1,0.008863494739447066,0.47161092288103085,0.005017199033464195,0.639,502.0,0.0,3303.0,0.03303,0
2,0.0049453742605242365,0.22347095219687205,0.007066675636957316,0.7524,707.0,0.0,4852.0,0.04852,0
3,0.0049453742605242365,0.22347095219687205,0.007066675636957316,0.7524,707.0,0.0,3883.0,0.03883,0
4,0.0005969684569778099,0.14491806069654922,0.002179730881545345,0.1401,218.0,0.0,240.0,0.0024,0
5,0.0005969684569778099,0.14491806069654922,0.002179730881545345,0.1401,218.0,0.0,238.0,0.00238,0
6,0.021456995475010135,0.24236628952929656,0.009971067907706927,3.0101,16348.683291804547,10.126582278481013,62317.0,0.62317,0
7,0.021456995475010135,0.24236628952929656,0.009971067907706927,3.0101,15328.350924898647,10.126582278481013,61336.0,0.61336,0
8,0.01687157951352467,0.4534613264559055,0.009506714061387717,1.265,2403.9803055164807,7.088607594936709,18303.0,0.18303,0
9,0.01687157951352467,0.4534613264559055,0.009506714061387717,1.265,2669.0563122444005,8.10126582278481,18053.0,0.18053,0
10,0.01121754315057959,0.1781934986256087,0.0035504560656724024,2.1404,8557.475284501103,19.240506329113927,43201.0,0.43201,0
11,0.01121754315057959,0.1781934986256087,0.0035504560656724024,2.1404,8416.015334104504,19.240506329113927,42770.0,0.4277,0
12,0.010664503742134948,0.4447064032160181,0.0013299992480799445,0.8154,358.1459581838602,34.43037974683544,3992.0,0.03992,1
13,0.010664503742134948,0.4447064032160181,0.0013299992480799445,0.8154,316.4130909071908,16.20253164556962,3465.0,0.03465,1
14,0.02108974213426478,0.11463798190852785,0.0010134252464863264,6.2549,35091.21815873115,14.177215189873419,88781.0,0.88781,0
15,0.02108974213426478,0.11463798190852785,0.0010134252464863264,6.2549,35333.97905587746,14.177215189873419,88712.0,0.88712,0
16,0.02126940056352233,0.27687346460028484,0.00817187958738887,2.6119,12457.192858520682,10.126582278481013,54575.0,0.54575,0
17,0.02126940056352233,0.27687346460028484,0.00817187958738887,2.6119,12476.017886044876,10.126582278481013,54371.0,0.54371,0
18,0.007838329034688523,0.30058045265179506,0.005705339507333922,0.8866,769.6409579498426,19.240506329113927,7336.0,0.07336,1
19,0.007838329034688523,0.30058045265179506,0.005705339507333922,0.8866,687.0093614765815,24.303797468354432,7132.0,0.07132,1
20,0.0026801072485817382,0.389768169941649,0.00665318927839685,0.2338,665.0,0.0,806.0,0.00806,0
21,0.0026801072485817382,0.389768169941649,0.00665318927839685,0.2338,665.0,0.0,837.0,0.00837,0
22,0.002789011641022584,0.264934594676247,0.004622733942338138,0.3579,462.0,0.0,626.0,0.00626,0
23,0.002789011641022584,0.264934594676247,0.004622733942338138,0.3579,462.0,0.0,627.0,0.00627,0
24,0.0007300555327633787,0.11437149711719055,0.0013289817669117979,0.217,133.0,0.0,173.0,0.00173,0
25,0.0007300555327633787,0.11437149711719055,0.0013289817669117979,0.217,133.0,0.0,158.0,0.00158,0
26,0.012732968165276845,0.0605504899175908,0.009962141040704035,7.1498,39507.071940884016,21.265822784810126,88483.0,0.88483,0
27,0.012732968165276845,0.0605504899175908,0.009962141040704035,7.1498,39619.15433381611,21.265822784810126,88604.0,0.88604,0
28,0.01051304467947422,0.4215819304389803,0.005777900739337812,0.8479,578.0,0.0,4187.0,0.04187,1
29,0.01051304467947422,0.4215819304389803,0.005777900739337812,0.8479,795.3037773504491,11.139240506329115,6529.0,0.06529,1
30,0.013636568573870694,0.032035845712572605,0.0010890560164107804,14.4726,58288.595377957296,27.341772151898738,83197.0,0.83197,0
31,0.013636568573870694,0.032035845712572605,0.0010890560164107804,14.4726,58605.31734148811,26.329113924050635,83404.0,0.83404,0
32,0.014290730178823643,0.2096895434197934,0.0028055791886365863,2.3172,9349.456699393066,17.21518987341772,47244.0,0.47244,0
33,0.014290730178823643,0.2096895434197934,0.0028055791886365863,2.3172,10083.614178831032,16.20253164556962,47451.0,0.47451,0
34,0.018787553733050556,0.2631075414044715,0.009611952999900523,2.4278,10891.607500468146,11.139240506329115,50427.0,0.50427,0
35,0.018787553733050556,0.2631075414044715,0.009611952999900523,2.4278,10840.712570597821,11.139240506329115,49497.0,0.49497,0
36,0.0059614848001499545,0.3571691376846489,0.0038905823686323634,0.5675,389.0,0.0,1297.0,0.01297,0
37,0.0059614848001499545,0.3571691376846489,0.0038905823686323634,0.5675,389.0,0.0,1220.0,0.0122,0
38,0.01858693602937805,0.27425581402672106,0.006916882471059758,2.3043,10241.886639009665,11.139240506329115,48154.0,0.48154,0
39,0.01858693602937805,0.27425581402672106,0.006916882471059758,2.3043,9967.009694679642,11.139240506329115,47300.0,0.473,0
40,0.013981855621219518,0.186912290940958,0.0040066588565699345,2.5433,12200.840598594232,17.21518987341772,52882.0,0.52882,0
41,0.013981855621219518,0.186912290940958,0.0040066588565699345,2.5433,11877.023372898559,17.21518987341772,52268.0,0.52268,0
42,0.0094979724411608,0.4744101138479034,0.009050678623363145,0.6807,905.0,0.0,3869.0,0.03869,0
43,0.0094979724411608,0.4744101138479034,0.009050678623363145,0.6807,905.0,0.0,3764.0,0.03764,0
44,0.006727068188100451,0.17875937527039887,0.006450595088370348,1.2795,2985.626086526406,24.303797468354432,18620.0,0.1862,0
45,0.006727068188100451,0.17875937527039887,0.006450595088370348,1.2795,2492.861572105537,21.265822784810126,17868.0,0.17868,0
46,0.012767706942006758,0.2969937260453598,0.0023167001335941597,1.4617,3789.0285104962063,17.21518987341772,23673.0,0.23673,0
47,0.012767706942006758,0.2969937260453598,0.0023167001335941597,1.4617,3570.166328053618,17.21518987341772,23904.0,0.23904,0
48,0.01715106425069788,0.27512319630425985,0.003054993089712874,2.1195,8324.5509836495,14.177215189873419,42305.0,0.42305,0
49,0.01715106425069788,0.27512319630425985,0.003054993089712874,2.1195,8262.539911940941,14.177215189873419,42549.0,0.42549,0
