replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,50,0.7596313953399658,596.8650512695312,72.58482360839844,844.986572265625,873.0238647460938,1.1655311703681945,best_balanced_mlp_model_1.pt,experiments\Ablation studies\out\trained-models\no_conservation
2,123,50,0.7961224913597107,570.7185668945312,66.58504486083984,818.7122802734375,826.8582763671875,1.0825308918952943,best_balanced_mlp_model_2.pt,experiments\Ablation studies\out\trained-models\no_conservation
3,456,50,0.7941291928291321,519.2196044921875,68.11116790771484,729.8605346679688,759.687255859375,1.209840178489685,best_balanced_mlp_model_3.pt,experiments\Ablation studies\out\trained-models\no_conservation
4,789,50,0.7941834926605225,590.6087036132812,67.75050354003906,841.8223266601562,862.2532958984375,1.223481257756551,best_balanced_mlp_model_4.pt,experiments\Ablation studies\out\trained-models\no_conservation
5,1011,50,0.7940927743911743,620.4462890625,67.90022277832031,851.5903930664062,941.8482055664062,1.2568278551101684,best_balanced_mlp_model_5.pt,experiments\Ablation studies\out\trained-models\no_conservation
6,1213,50,0.7609296441078186,548.6809692382812,70.83175659179688,766.9215087890625,808.2894897460938,1.2336633761723836,best_balanced_mlp_model_6.pt,experiments\Ablation studies\out\trained-models\no_conservation
7,1415,50,0.7872031927108765,654.9524536132812,68.18234252929688,926.858154296875,969.8167724609375,1.241380500793457,best_balanced_mlp_model_7.pt,experiments\Ablation studies\out\trained-models\no_conservation
8,1617,50,0.7455493211746216,598.3264770507812,72.05903625488281,837.7677001953125,885.1525268554688,1.2736244400342305,best_balanced_mlp_model_8.pt,experiments\Ablation studies\out\trained-models\no_conservation
9,1819,50,0.7950982451438904,506.1296691894531,63.7287483215332,718.0179443359375,736.6422119140625,1.2546445965766906,best_balanced_mlp_model_9.pt,experiments\Ablation studies\out\trained-models\no_conservation
10,2021,50,0.7547082901000977,744.76318359375,76.88426971435547,1065.907470703125,1091.4981689453125,1.2306007782618205,best_balanced_mlp_model_10.pt,experiments\Ablation studies\out\trained-models\no_conservation
