sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0.014024593836401556,0.1412619744101794,0.007851240715786034,3.3755,18421.609841489993,17.21518987341772,67401.0,0.67401,0
1,0.013684135751131248,0.34225715878764223,0.009402723852251542,1.3594,2598.3431509121674,10.126582278481013,19268.0,0.19268,0
2,0.023574458874064466,0.0588926704931299,0.007419511440371579,13.61,57200.11461648457,13.164556962025317,96922.0,0.96922,0
3,0.009011040417741327,0.43240551973906394,0.009230280839310965,0.7085,923.0,0.0,5509.0,0.05509,0
4,0.00437744248611681,0.07596373239998949,0.0022492240068839797,1.9593,6953.978959173872,54.683544303797476,26931.0,0.26931,0
5,0.017252215857856534,0.42667311215119547,0.0019387490640042824,1.3748,2782.8346040800243,13.164556962025317,20247.0,0.20247,0
6,0.016325884628799962,0.3840207170355916,0.0016782091840362662,1.4454,3203.804119755564,14.177215189873419,22851.0,0.22851,0
7,0.011282863759372685,0.34757753975093436,0.008276299963226732,1.1037,1707.0398900687903,14.177215189873419,13888.0,0.13888,1
8,0.019630712233937326,0.035399923369361895,0.008562688834872342,18.8544,64212.080519583156,16.20253164556962,90515.0,0.90515,0
9,0.006788335016930512,0.26022750137279677,0.005476443146185336,0.8869,796.0355357566352,20.253164556962027,6505.0,0.06505,1
10,0.01703544807703281,0.1875851470677369,0.0021293307444962594,3.0877,16276.134257515754,15.18987341772152,62829.0,0.62829,0
11,0.02276090517735764,0.4499495924492915,0.007940238290664045,1.7199,5597.794149479246,8.10126582278481,32397.0,0.32397,0
12,0.013514923642359001,0.18853488595725842,0.003309087580149839,2.4373,10302.632580068454,17.21518987341772,48923.0,0.48923,0
13,0.014852616504743963,0.2543431456977754,0.001566491704159866,1.9855,7099.044320170471,15.18987341772152,38081.0,0.38081,0
14,0.023316153262723044,0.4408387812092778,0.0023163329802179475,1.7983,5829.7704299944135,9.113924050632912,33975.0,0.33975,0
15,0.023107356748281665,0.36206282924184474,0.002635602655424628,2.1699,8695.195194907668,10.126582278481013,42929.0,0.42929,0
16,0.006006539209525782,0.25565738902767343,0.008197453016036624,0.7988,820.0,0.0,6169.0,0.06169,0
17,0.007833092353621717,0.2963193228871617,0.0015166371196336358,0.8988,697.7548564090939,32.40506329113924,6319.0,0.06319,1
18,0.019025415790655826,0.4074171507527289,0.0018165425868809188,1.5877,3963.614448677821,13.164556962025317,25542.0,0.25542,0
19,0.008574273176900214,0.05547726525757202,0.0033606352102633057,5.2549,30136.47062562808,32.40506329113924,75476.0,0.75476,0
20,0.007541046162844721,0.43113134006079834,0.0031443167757810387,0.5947,314.0,0.0,743.0,0.00743,0
21,0.0036627027576520616,0.015322683685301236,0.0048376927852403105,8.1273,43005.0,80.0,27453.0,0.27453,0
22,0.008607412803459627,0.23123954962981813,0.009552175846507142,1.2656,2797.130756589941,15.18987341772152,18130.0,0.1813,0
23,0.016120958537581047,0.2281668826453863,0.008569003765659559,2.4022,11396.74537638911,14.177215189873419,51097.0,0.51097,0
24,0.01253663490365917,0.412529638880469,0.00381955088332757,1.0332,1253.6781850684083,11.139240506329115,10637.0,0.10637,1
25,0.0033372968010281514,0.3119287031277245,0.0018452448186541172,0.3638,185.0,0.0,254.0,0.00254,0
26,0.00727339307689223,0.11212440186377963,0.008617928324003075,2.2055,9158.300015416153,29.367088607594937,43373.0,0.43373,0
27,0.00995500875619278,0.22746834141329272,0.005200457866311464,1.488,4036.7896840637045,19.240506329113927,25444.0,0.25444,0
28,0.01254605034212039,0.33219204037534744,0.00418454921763566,1.2841,2154.3904325811213,15.18987341772152,16325.0,0.16325,0
29,0.014164165168478899,0.19126748649044845,0.007592745369610096,2.5178,12262.29255688373,14.177215189873419,53142.0,0.53142,0
