,sim_id,replicate_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
count,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
mean,1999.5,0.0,0.00966354582463133,0.5851981623456067,0.0050511474503296995,1.1522337999999999,1219.2782165070698,5.34663654618474,6285.56625,0.0628556625,0.82775
std,1154.8448669265786,0.0,0.005577118642468959,0.24716023814815416,0.0027981128757708995,0.8704867836346976,2036.4409080444561,11.241788337895867,10547.6967762603,0.105476967762603,0.3776447952744079
min,0.0,0.0,0.0003137069536022,0.0355677480250669,0.0001000767824378,0.0202,10.363239372732446,0.0,12.0,0.00012,0.0
25%,999.75,0.0,0.004835245376354825,0.38283266090498325,0.002691402157327625,0.5238750000000001,366.0,0.0,649.75,0.0064975,1.0
50%,1999.5,0.0,0.009234751055262301,0.5943541963217203,0.0050326855155104,0.97625,657.0,0.0,1525.5,0.015255,1.0
75%,2999.25,0.0,0.014386734724509725,0.795999075065004,0.007471490079356925,1.507025,940.0361423315283,9.036144578313252,6529.25,0.0652925,1.0
max,3999.0,0.0,0.0199940791587698,0.9999330868297842,0.0099963758858295,7.1767,24312.98710547455,156.6265060240964,76991.0,0.76991,1.0
