sim_id,replicate_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0,0.0009301266813193916,0.36020125285402477,0.0028408142423461623,0.0878,284.0,0.0,296.0,0.00296,0
1,0,0.00629624420014104,0.47290414080364074,0.0031233292729615546,0.4527,312.0,0.0,464.0,0.00464,0
2,0,0.001996320927784216,0.19607611945865705,0.006004680801327704,0.3462,600.0,0.0,836.0,0.00836,0
3,0,0.009005479455636673,0.25458735807247473,0.006741433529531595,1.2027,1622.8128480512223,24.303797468354432,14761.0,0.14761,0
4,0,0.0030554994029480713,0.06643967382453529,0.003763637306613998,1.5636,4054.4978176808418,61.77215189873418,13351.0,0.13351,0
5,0,0.005124887132816714,0.16188153159936228,0.001501066870147426,1.0764,1209.9444610389455,41.51898734177215,8976.0,0.08976,1
6,0,0.010620570078320133,0.46398821854271005,0.006498524857738722,0.7783,650.0,0.0,4625.0,0.04625,0
7,0,0.01581888845461302,0.31733732213910704,0.009722257749421542,1.6949,5700.429591591777,12.151898734177216,32671.0,0.32671,0
8,0,0.0005867403449111146,0.32268162222700825,0.0029889443400637483,0.0618,299.0,0.0,308.0,0.00308,0
9,0,0.01047001961060207,0.39100222938709595,0.00961874001761203,0.9104,962.0,0.0,8485.0,0.08485,1
10,0,0.015605865897333024,0.41546630722888755,0.005077459730152957,1.2771,2420.4187326022775,12.151898734177216,18249.0,0.18249,0
11,0,0.017249898349069426,0.3887367323388986,0.005750796252833839,1.5087,3454.2100620679084,10.126582278481013,24582.0,0.24582,0
12,0,0.00857896778776347,0.26950776822693095,0.007366783774675922,1.0823,1372.215688648704,20.253164556962027,11514.0,0.11514,1
13,0,0.012819279084739723,0.23137866474581884,0.0055682678364410865,1.8837,6607.5360693118055,14.177215189873419,36311.0,0.36311,0
14,0,0.0011105109381128254,0.24961626481607876,0.00982605001240514,0.1513,983.0,0.0,1082.0,0.01082,0
15,0,0.015891328595258828,0.45060089966368544,0.004914093234046307,1.1991,1970.761569596472,13.164556962025317,15294.0,0.15294,1
