peak_I,test_strategy,train_strategy,augmentation
2256.9048,MCMC,UNIFORM_RANDOM,1
885.0,MCMC,UNIFORM_RANDOM,1
366.0,MCMC,UNIFORM_RANDOM,1
598.0,MCMC,UNIFORM_RANDOM,1
7989.6807,MCMC,UNIFORM_RANDOM,1
12107.771,MCMC,UNIFORM_RANDOM,1
945.0,MCMC,UNIFORM_RANDOM,1
940.0,MCMC,UNIFORM_RANDOM,1
875.0,MCMC,UNIFORM_RANDOM,1
1269.0898,MCMC,UNIFORM_RANDOM,1
2434.5747,MCMC,UNIFORM_RANDOM,1
899.0,MCMC,UNIFORM_RANDOM,1
440.0,MCMC,UNIFORM_RANDOM,1
804.0,MCMC,UNIFORM_RANDOM,1
731.0,MCMC,UNIFORM_RANDOM,1
204.0,MCMC,UNIFORM_RANDOM,1
283.0,MCMC,UNIFORM_RANDOM,1
1674.7681,MCMC,UNIFORM_RANDOM,1
130.0,MCMC,UNIFORM_RANDOM,1
1078.7793,MCMC,UNIFORM_RANDOM,1
3258.6711,MCMC,UNIFORM_RANDOM,1
609.0,MCMC,UNIFORM_RANDOM,1
7989.5894,MCMC,UNIFORM_RANDOM,1
81.0,MCMC,UNIFORM_RANDOM,1
563.0,MCMC,UNIFORM_RANDOM,1
821.0,MCMC,UNIFORM_RANDOM,1
881.0,MCMC,UNIFORM_RANDOM,1
241.0,MCMC,UNIFORM_RANDOM,1
606.0,MCMC,UNIFORM_RANDOM,1
287.0,MCMC,UNIFORM_RANDOM,1
1012.21246,MCMC,UNIFORM_RANDOM,1
57.0,MCMC,UNIFORM_RANDOM,1
296.0,MCMC,UNIFORM_RANDOM,1
3610.4973,MCMC,UNIFORM_RANDOM,1
657.0,MCMC,UNIFORM_RANDOM,1
813.44073,MCMC,UNIFORM_RANDOM,1
928.0,MCMC,UNIFORM_RANDOM,1
895.0,MCMC,UNIFORM_RANDOM,1
1894.9829,MCMC,UNIFORM_RANDOM,1
299.0,MCMC,UNIFORM_RANDOM,1
88.0,MCMC,UNIFORM_RANDOM,1
405.5187,MCMC,UNIFORM_RANDOM,1
734.0,MCMC,UNIFORM_RANDOM,1
10311.973,MCMC,UNIFORM_RANDOM,1
3584.3555,MCMC,UNIFORM_RANDOM,1
942.0,MCMC,UNIFORM_RANDOM,1
218.0,MCMC,UNIFORM_RANDOM,1
876.9896,MCMC,UNIFORM_RANDOM,1
153.0,MCMC,UNIFORM_RANDOM,1
619.5387,MCMC,UNIFORM_RANDOM,1
917.0,MCMC,UNIFORM_RANDOM,1
645.0,MCMC,UNIFORM_RANDOM,1
822.0,MCMC,UNIFORM_RANDOM,1
548.0,MCMC,UNIFORM_RANDOM,1
19.0,MCMC,UNIFORM_RANDOM,1
587.0,MCMC,UNIFORM_RANDOM,1
37.0,MCMC,UNIFORM_RANDOM,1
2967.8218,MCMC,UNIFORM_RANDOM,1
318.0,MCMC,UNIFORM_RANDOM,1
432.0,MCMC,UNIFORM_RANDOM,1
5285.8027,MCMC,UNIFORM_RANDOM,1
4602.578,MCMC,UNIFORM_RANDOM,1
695.8244,MCMC,UNIFORM_RANDOM,1
859.0,MCMC,UNIFORM_RANDOM,1
124.0,MCMC,UNIFORM_RANDOM,1
321.0,MCMC,UNIFORM_RANDOM,1
135.0,MCMC,UNIFORM_RANDOM,1
981.0,MCMC,UNIFORM_RANDOM,1
502.0,MCMC,UNIFORM_RANDOM,1
689.0,MCMC,UNIFORM_RANDOM,1
219.21432,MCMC,UNIFORM_RANDOM,1
1731.9084,MCMC,UNIFORM_RANDOM,1
871.0,MCMC,UNIFORM_RANDOM,1
816.0,MCMC,UNIFORM_RANDOM,1
577.0,MCMC,UNIFORM_RANDOM,1
334.0,MCMC,UNIFORM_RANDOM,1
545.0,MCMC,UNIFORM_RANDOM,1
963.0,MCMC,UNIFORM_RANDOM,1
566.01117,MCMC,UNIFORM_RANDOM,1
235.0,MCMC,UNIFORM_RANDOM,1
275.0,MCMC,UNIFORM_RANDOM,1
566.0,MCMC,UNIFORM_RANDOM,1
394.0,MCMC,UNIFORM_RANDOM,1
786.0,MCMC,UNIFORM_RANDOM,1
523.0,MCMC,UNIFORM_RANDOM,1
767.0,MCMC,UNIFORM_RANDOM,1
623.49567,MCMC,UNIFORM_RANDOM,1
740.0,MCMC,UNIFORM_RANDOM,1
829.0,MCMC,UNIFORM_RANDOM,1
555.2322,MCMC,UNIFORM_RANDOM,1
200.0,MCMC,UNIFORM_RANDOM,1
2202.4998,MCMC,UNIFORM_RANDOM,1
732.0,MCMC,UNIFORM_RANDOM,1
646.0,MCMC,UNIFORM_RANDOM,1
909.0,MCMC,UNIFORM_RANDOM,1
622.0,MCMC,UNIFORM_RANDOM,1
11.0,MCMC,UNIFORM_RANDOM,1
1981.3372,MCMC,UNIFORM_RANDOM,1
718.7784,MCMC,UNIFORM_RANDOM,1
507.0,MCMC,UNIFORM_RANDOM,1
234.0,MCMC,UNIFORM_RANDOM,1
2080.2876,MCMC,UNIFORM_RANDOM,1
359.17822,MCMC,UNIFORM_RANDOM,1
586.0,MCMC,UNIFORM_RANDOM,1
8488.887,MCMC,UNIFORM_RANDOM,1
515.0,MCMC,UNIFORM_RANDOM,1
88.0,MCMC,UNIFORM_RANDOM,1
232.0,MCMC,UNIFORM_RANDOM,1
919.0,MCMC,UNIFORM_RANDOM,1
341.30728,MCMC,UNIFORM_RANDOM,1
473.0,MCMC,UNIFORM_RANDOM,1
731.0,MCMC,UNIFORM_RANDOM,1
448.61255,MCMC,UNIFORM_RANDOM,1
553.0,MCMC,UNIFORM_RANDOM,1
1713.2106,MCMC,UNIFORM_RANDOM,1
762.0,MCMC,UNIFORM_RANDOM,1
843.62054,MCMC,UNIFORM_RANDOM,1
588.0,MCMC,UNIFORM_RANDOM,1
688.0,MCMC,UNIFORM_RANDOM,1
307.0,MCMC,UNIFORM_RANDOM,1
8244.123,MCMC,UNIFORM_RANDOM,1
6193.5586,MCMC,UNIFORM_RANDOM,1
329.0,MCMC,UNIFORM_RANDOM,1
410.0,MCMC,UNIFORM_RANDOM,1
142.0,MCMC,UNIFORM_RANDOM,1
87.0,MCMC,UNIFORM_RANDOM,1
410.0,MCMC,UNIFORM_RANDOM,1
1205.9509,MCMC,UNIFORM_RANDOM,1
786.0,MCMC,UNIFORM_RANDOM,1
649.0,MCMC,UNIFORM_RANDOM,1
405.0,MCMC,UNIFORM_RANDOM,1
473.0,MCMC,UNIFORM_RANDOM,1
7182.509,MCMC,UNIFORM_RANDOM,1
13327.278,MCMC,UNIFORM_RANDOM,1
1078.4664,MCMC,UNIFORM_RANDOM,1
839.0,MCMC,UNIFORM_RANDOM,1
605.0,MCMC,UNIFORM_RANDOM,1
314.0,MCMC,UNIFORM_RANDOM,1
811.0,MCMC,UNIFORM_RANDOM,1
