peak_I,test_strategy,train_strategy,augmentation
3647.0796,LHS,MCMC,1
15.0,LHS,MCMC,1
674.0,LHS,MCMC,1
204.0,LHS,MCMC,1
2075.32,LHS,MCMC,1
591.0,LHS,MCMC,1
880.66003,LHS,MCMC,1
206.0,LHS,MCMC,1
1171.3947,LHS,MCMC,1
1583.759,LHS,MCMC,1
1011.3156,LHS,MCMC,1
55.0,LHS,MCMC,1
608.0,LHS,MCMC,1
4033.3025,LHS,MCMC,1
727.0,LHS,MCMC,1
748.0,LHS,MCMC,1
683.0,LHS,MCMC,1
786.0,LHS,MCMC,1
988.0,LHS,MCMC,1
456.0,LHS,MCMC,1
1033.3517,LHS,MCMC,1
279.2997,LHS,MCMC,1
2249.1082,LHS,MCMC,1
248.0,LHS,MCMC,1
781.0,LHS,MCMC,1
981.0,LHS,MCMC,1
1283.4229,LHS,MCMC,1
624.0,LHS,MCMC,1
957.0,LHS,MCMC,1
987.0,LHS,MCMC,1
4083.9382,LHS,MCMC,1
702.0,LHS,MCMC,1
134.0,LHS,MCMC,1
18197.078,LHS,MCMC,1
612.37665,LHS,MCMC,1
350.0,LHS,MCMC,1
563.0,LHS,MCMC,1
425.0,LHS,MCMC,1
2518.4272,LHS,MCMC,1
354.0,LHS,MCMC,1
14527.347,LHS,MCMC,1
537.0,LHS,MCMC,1
569.0,LHS,MCMC,1
322.0,LHS,MCMC,1
441.0,LHS,MCMC,1
2311.812,LHS,MCMC,1
955.0,LHS,MCMC,1
655.0,LHS,MCMC,1
9768.642,LHS,MCMC,1
4141.071,LHS,MCMC,1
944.0,LHS,MCMC,1
812.0,LHS,MCMC,1
595.0,LHS,MCMC,1
156.0,LHS,MCMC,1
190.0,LHS,MCMC,1
682.0,LHS,MCMC,1
806.4965,LHS,MCMC,1
487.0,LHS,MCMC,1
334.0,LHS,MCMC,1
308.0,LHS,MCMC,1
415.0,LHS,MCMC,1
245.0,LHS,MCMC,1
105.0,LHS,MCMC,1
626.0,LHS,MCMC,1
777.0,LHS,MCMC,1
760.0,LHS,MCMC,1
852.0,LHS,MCMC,1
50719.414,LHS,MCMC,1
4960.8486,LHS,MCMC,1
917.39557,LHS,MCMC,1
1422.9576,LHS,MCMC,1
665.0,LHS,MCMC,1
17092.701,LHS,MCMC,1
361.0,LHS,MCMC,1
733.0,LHS,MCMC,1
370.0,LHS,MCMC,1
473.0,LHS,MCMC,1
914.0,LHS,MCMC,1
800.0,LHS,MCMC,1
465.0,LHS,MCMC,1
1246.7535,LHS,MCMC,1
1602.2449,LHS,MCMC,1
645.0,LHS,MCMC,1
832.0,LHS,MCMC,1
3937.5723,LHS,MCMC,1
339.40494,LHS,MCMC,1
4310.562,LHS,MCMC,1
886.0,LHS,MCMC,1
505.0,LHS,MCMC,1
767.89075,LHS,MCMC,1
700.0,LHS,MCMC,1
3736.4058,LHS,MCMC,1
6870.4907,LHS,MCMC,1
647.0,LHS,MCMC,1
519.0,LHS,MCMC,1
1441.2899,LHS,MCMC,1
612.0,LHS,MCMC,1
347.0,LHS,MCMC,1
14429.994,LHS,MCMC,1
19124.738,LHS,MCMC,1
1392.5416,LHS,MCMC,1
198.0,LHS,MCMC,1
8777.461,LHS,MCMC,1
931.0,LHS,MCMC,1
486.26993,LHS,MCMC,1
942.0,LHS,MCMC,1
301.0,LHS,MCMC,1
