peak_I,test_strategy,train_strategy,augmentation
219.21432,MCMC,MCMC,1
1731.9084,MCMC,MCMC,1
871.0,MCMC,MCMC,1
816.0,MCMC,MCMC,1
577.0,MCMC,MCMC,1
334.0,MCMC,MCMC,1
545.0,MCMC,MCMC,1
963.0,MCMC,MCMC,1
566.01117,MCMC,MCMC,1
235.0,MCMC,MCMC,1
275.0,MCMC,MCMC,1
566.0,MCMC,MCMC,1
394.0,MCMC,MCMC,1
786.0,MCMC,MCMC,1
523.0,MCMC,MCMC,1
767.0,MCMC,MCMC,1
623.49567,MCMC,MCMC,1
740.0,MCMC,MCMC,1
829.0,MCMC,MCMC,1
555.2322,MCMC,MCMC,1
200.0,MCMC,MCMC,1
2202.4998,MCMC,MCMC,1
732.0,MCMC,MCMC,1
646.0,MCMC,MCMC,1
909.0,MCMC,MCMC,1
622.0,MCMC,MCMC,1
11.0,MCMC,MCMC,1
1981.3372,MCMC,MCMC,1
718.7784,MCMC,MCMC,1
507.0,MCMC,MCMC,1
234.0,MCMC,MCMC,1
2080.2876,MCMC,MCMC,1
359.17822,MCMC,MCMC,1
586.0,MCMC,MCMC,1
8488.887,MCMC,MCMC,1
515.0,MCMC,MCMC,1
88.0,MCMC,MCMC,1
232.0,MCMC,MCMC,1
919.0,MCMC,MCMC,1
341.30728,MCMC,MCMC,1
473.0,MCMC,MCMC,1
731.0,MCMC,MCMC,1
448.61255,MCMC,MCMC,1
553.0,MCMC,MCMC,1
1713.2106,MCMC,MCMC,1
762.0,MCMC,MCMC,1
843.62054,MCMC,MCMC,1
588.0,MCMC,MCMC,1
688.0,MCMC,MCMC,1
307.0,MCMC,MCMC,1
8244.123,MCMC,MCMC,1
6193.5586,MCMC,MCMC,1
329.0,MCMC,MCMC,1
410.0,MCMC,MCMC,1
142.0,MCMC,MCMC,1
87.0,MCMC,MCMC,1
410.0,MCMC,MCMC,1
1205.9509,MCMC,MCMC,1
786.0,MCMC,MCMC,1
649.0,MCMC,MCMC,1
405.0,MCMC,MCMC,1
473.0,MCMC,MCMC,1
7182.509,MCMC,MCMC,1
13327.278,MCMC,MCMC,1
1078.4664,MCMC,MCMC,1
839.0,MCMC,MCMC,1
605.0,MCMC,MCMC,1
314.0,MCMC,MCMC,1
811.0,MCMC,MCMC,1
132.0,MCMC,MCMC,1
587.0,MCMC,MCMC,1
848.53375,MCMC,MCMC,1
945.0,MCMC,MCMC,1
175.0,MCMC,MCMC,1
192.0,MCMC,MCMC,1
1241.474,MCMC,MCMC,1
427.0,MCMC,MCMC,1
1159.782,MCMC,MCMC,1
607.0,MCMC,MCMC,1
543.0,MCMC,MCMC,1
393.0,MCMC,MCMC,1
155.0,MCMC,MCMC,1
1717.3085,MCMC,MCMC,1
363.0,MCMC,MCMC,1
4179.2485,MCMC,MCMC,1
1524.3666,MCMC,MCMC,1
551.0,MCMC,MCMC,1
904.0,MCMC,MCMC,1
409.0,MCMC,MCMC,1
156.0,MCMC,MCMC,1
539.7098,MCMC,MCMC,1
1507.3895,MCMC,MCMC,1
512.32806,MCMC,MCMC,1
420.0,MCMC,MCMC,1
197.0,MCMC,MCMC,1
13842.754,MCMC,MCMC,1
730.0,MCMC,MCMC,1
350.0,MCMC,MCMC,1
94.0,MCMC,MCMC,1
322.0,MCMC,MCMC,1
94.0,MCMC,MCMC,1
995.0,MCMC,MCMC,1
36.0,MCMC,MCMC,1
33.0,MCMC,MCMC,1
566.1828,MCMC,MCMC,1
830.0,MCMC,MCMC,1
6046.8633,MCMC,MCMC,1
562.0,MCMC,MCMC,1
145.0,MCMC,MCMC,1
178.0,MCMC,MCMC,1
527.0,MCMC,MCMC,1
350.0,MCMC,MCMC,1
168.0,MCMC,MCMC,1
500.0,MCMC,MCMC,1
845.0,MCMC,MCMC,1
924.0,MCMC,MCMC,1
893.0,MCMC,MCMC,1
570.0,MCMC,MCMC,1
667.0,MCMC,MCMC,1
553.0,MCMC,MCMC,1
504.0,MCMC,MCMC,1
365.0,MCMC,MCMC,1
477.0,MCMC,MCMC,1
994.0,MCMC,MCMC,1
658.0,MCMC,MCMC,1
835.0,MCMC,MCMC,1
