peak_I,test_strategy,train_strategy,augmentation
373.0,LHS,LHS,1
608.31256,LHS,LHS,1
245.0,LHS,LHS,1
730.0,LHS,LHS,1
178.0,LHS,LHS,1
442.0,LHS,LHS,1
14206.631,LHS,LHS,1
202.0,LHS,LHS,1
806.0,LHS,LHS,1
13414.77,LHS,LHS,1
45259.113,LHS,LHS,1
136.0,LHS,LHS,1
170.0,LHS,LHS,1
146.0,LHS,LHS,1
421.0,LHS,LHS,1
736.0,LHS,LHS,1
3562.008,LHS,LHS,1
1827.9995,LHS,LHS,1
7543.5073,LHS,LHS,1
673.0,LHS,LHS,1
277.0,LHS,LHS,1
7691.1553,LHS,LHS,1
981.0,LHS,LHS,1
720.8608,LHS,LHS,1
1709.953,LHS,LHS,1
720.0,LHS,LHS,1
2918.5803,LHS,LHS,1
39.0,LHS,LHS,1
22279.045,LHS,LHS,1
591.0,LHS,LHS,1
109.0,LHS,LHS,1
618.0,LHS,LHS,1
11469.707,LHS,LHS,1
338.0,LHS,LHS,1
2310.119,LHS,LHS,1
612.0,LHS,LHS,1
165.0,LHS,LHS,1
960.0,LHS,LHS,1
15897.518,LHS,LHS,1
1903.2793,LHS,LHS,1
11994.231,LHS,LHS,1
4090.2485,LHS,LHS,1
875.0,LHS,LHS,1
35.0,LHS,LHS,1
472.0,LHS,LHS,1
549.0,LHS,LHS,1
332.0,LHS,LHS,1
10323.545,LHS,LHS,1
652.0,LHS,LHS,1
94.0,LHS,LHS,1
370.0,LHS,LHS,1
393.0,LHS,LHS,1
777.0,LHS,LHS,1
468.0,LHS,LHS,1
6039.5615,LHS,LHS,1
948.0,LHS,LHS,1
24320.996,LHS,LHS,1
6174.2393,LHS,LHS,1
37269.24,LHS,LHS,1
876.0,LHS,LHS,1
271.8135,LHS,LHS,1
18.0,LHS,LHS,1
1723.2955,LHS,LHS,1
26833.541,LHS,LHS,1
690.0,LHS,LHS,1
335.0,LHS,LHS,1
9182.797,LHS,LHS,1
7618.7197,LHS,LHS,1
425.0,LHS,LHS,1
17359.484,LHS,LHS,1
917.0,LHS,LHS,1
807.0,LHS,LHS,1
28784.633,LHS,LHS,1
891.0,LHS,LHS,1
314.0,LHS,LHS,1
21957.412,LHS,LHS,1
747.0,LHS,LHS,1
990.0,LHS,LHS,1
243.07147,LHS,LHS,1
2504.6965,LHS,LHS,1
10602.913,LHS,LHS,1
987.0,LHS,LHS,1
97.0,LHS,LHS,1
471.0,LHS,LHS,1
467.0,LHS,LHS,1
389.0,LHS,LHS,1
177.0,LHS,LHS,1
17988.986,LHS,LHS,1
235.0,LHS,LHS,1
704.0,LHS,LHS,1
323.274,LHS,LHS,1
659.0,LHS,LHS,1
834.0,LHS,LHS,1
98.0,LHS,LHS,1
2956.1997,LHS,LHS,1
428.0,LHS,LHS,1
164.0,LHS,LHS,1
40870.38,LHS,LHS,1
754.0,LHS,LHS,1
29361.623,LHS,LHS,1
639.0,LHS,LHS,1
1853.197,LHS,LHS,1
49862.375,LHS,LHS,1
869.0,LHS,LHS,1
267.0,LHS,LHS,1
3037.2498,LHS,LHS,1
28826.715,LHS,LHS,1
391.0,LHS,LHS,1
593.0,LHS,LHS,1
300.0,LHS,LHS,1
20803.803,LHS,LHS,1
65.0,LHS,LHS,1
724.0,LHS,LHS,1
2389.9785,LHS,LHS,1
23035.541,LHS,LHS,1
936.0,LHS,LHS,1
141.39973,LHS,LHS,1
476.0,LHS,LHS,1
617.0,LHS,LHS,1
243.67693,LHS,LHS,1
838.0,LHS,LHS,1
123.0,LHS,LHS,1
774.0,LHS,LHS,1
3647.0796,LHS,LHS,1
15.0,LHS,LHS,1
674.0,LHS,LHS,1
204.0,LHS,LHS,1
2075.32,LHS,LHS,1
591.0,LHS,LHS,1
880.66003,LHS,LHS,1
206.0,LHS,LHS,1
1171.3947,LHS,LHS,1
1583.759,LHS,LHS,1
1011.3156,LHS,LHS,1
55.0,LHS,LHS,1
608.0,LHS,LHS,1
4033.3025,LHS,LHS,1
727.0,LHS,LHS,1
748.0,LHS,LHS,1
683.0,LHS,LHS,1
786.0,LHS,LHS,1
988.0,LHS,LHS,1
456.0,LHS,LHS,1
1033.3517,LHS,LHS,1
279.2997,LHS,LHS,1
2249.1082,LHS,LHS,1
248.0,LHS,LHS,1
781.0,LHS,LHS,1
981.0,LHS,LHS,1
1283.4229,LHS,LHS,1
624.0,LHS,LHS,1
957.0,LHS,LHS,1
987.0,LHS,LHS,1
4083.9382,LHS,LHS,1
702.0,LHS,LHS,1
134.0,LHS,LHS,1
18197.078,LHS,LHS,1
612.37665,LHS,LHS,1
350.0,LHS,LHS,1
563.0,LHS,LHS,1
425.0,LHS,LHS,1
2518.4272,LHS,LHS,1
354.0,LHS,LHS,1
14527.347,LHS,LHS,1
537.0,LHS,LHS,1
569.0,LHS,LHS,1
322.0,LHS,LHS,1
441.0,LHS,LHS,1
2311.812,LHS,LHS,1
955.0,LHS,LHS,1
655.0,LHS,LHS,1
9768.642,LHS,LHS,1
4141.071,LHS,LHS,1
944.0,LHS,LHS,1
812.0,LHS,LHS,1
595.0,LHS,LHS,1
156.0,LHS,LHS,1
190.0,LHS,LHS,1
682.0,LHS,LHS,1
806.4965,LHS,LHS,1
487.0,LHS,LHS,1
334.0,LHS,LHS,1
308.0,LHS,LHS,1
415.0,LHS,LHS,1
245.0,LHS,LHS,1
105.0,LHS,LHS,1
626.0,LHS,LHS,1
777.0,LHS,LHS,1
760.0,LHS,LHS,1
