peak_I,test_strategy,train_strategy,augmentation
997.0,MCMC,LHS,1
852.0,MCMC,LHS,1
810.0,MCMC,LHS,1
982.0,MCMC,LHS,1
1559.9697,MCMC,LHS,1
890.0,MCMC,LHS,1
2077.1013,MCMC,LHS,1
354.0,MCMC,LHS,1
647.0,MCMC,LHS,1
421.0,MCMC,LHS,1
114.0,MCMC,LHS,1
345.13794,MCMC,LHS,1
658.0,MCMC,LHS,1
401.5873,MCMC,LHS,1
738.93335,MCMC,LHS,1
796.0,MCMC,LHS,1
177.0,MCMC,LHS,1
524.0,MCMC,LHS,1
290.0,MCMC,LHS,1
71.0,MCMC,LHS,1
224.0,MCMC,LHS,1
402.58774,MCMC,LHS,1
1378.6205,MCMC,LHS,1
698.0,MCMC,LHS,1
981.4866,MCMC,LHS,1
28.0,MCMC,LHS,1
159.0,MCMC,LHS,1
245.0,MCMC,LHS,1
732.0,MCMC,LHS,1
148.0,MCMC,LHS,1
1090.8492,MCMC,LHS,1
921.0,MCMC,LHS,1
5641.6562,MCMC,LHS,1
745.5953,MCMC,LHS,1
1441.2048,MCMC,LHS,1
395.0,MCMC,LHS,1
872.39795,MCMC,LHS,1
9680.212,MCMC,LHS,1
350.0,MCMC,LHS,1
340.0,MCMC,LHS,1
337.0,MCMC,LHS,1
226.6665,MCMC,LHS,1
235.0,MCMC,LHS,1
8867.58,MCMC,LHS,1
6326.385,MCMC,LHS,1
733.23627,MCMC,LHS,1
757.0,MCMC,LHS,1
801.0,MCMC,LHS,1
753.0,MCMC,LHS,1
224.0,MCMC,LHS,1
809.0,MCMC,LHS,1
223.0,MCMC,LHS,1
2655.1152,MCMC,LHS,1
52.0,MCMC,LHS,1
4486.3735,MCMC,LHS,1
516.0,MCMC,LHS,1
865.7149,MCMC,LHS,1
153.0,MCMC,LHS,1
940.0,MCMC,LHS,1
449.41406,MCMC,LHS,1
497.0,MCMC,LHS,1
176.03122,MCMC,LHS,1
474.0,MCMC,LHS,1
439.0,MCMC,LHS,1
848.0,MCMC,LHS,1
280.0,MCMC,LHS,1
1377.9979,MCMC,LHS,1
3366.9292,MCMC,LHS,1
879.0,MCMC,LHS,1
392.2269,MCMC,LHS,1
807.0,MCMC,LHS,1
6568.785,MCMC,LHS,1
