tau,gamma,rho,R0,peak_infected_frac,final_attack_rate,peak_time,epidemic_occurred,growth_rate,zone
0.00056884765625,0.1307314453125,0.0095869140625,0.2537985502118626,0.00958,0.0107,0.0,1,0.0,sub-threshold  (R0< 0.5)
0.02379345703125,0.1307314453125,0.0095869140625,10.615750689505452,0.35466,0.88719,10.909143368643127,1,0.6903512145751596,super-threshold (R0 > 1.5)
0.00056884765625,0.2327978515625,0.0095869140625,0.1425247314986758,0.00958,0.01011,0.0,1,0.0,sub-threshold  (R0< 0.5)
0.00056884765625,0.1307314453125,0.0060888671875,0.2537985502118626,0.00608,0.0069,0.0,0,0.0,sub-threshold  (R0< 0.5)
0.02379345703125,0.2327978515625,0.0060888671875,5.961448619054913,0.19089,0.6827,9.922937002775553,1,0.6768689086645033,super-threshold (R0 > 1.5)
0.01231884765625,0.3772314453125,0.0050869140625000005,1.9047387771007187,0.01432,0.13446,18.329847208666855,1,-0.009569920656207112,super-threshold (R0 > 1.5)
0.012043457031250001,0.3772314453125,0.0050869140625000005,1.8621579110226023,0.01639,0.12055,10.904473425646206,1,0.1507100273954461,super-threshold (R0 > 1.5)
0.01231884765625,0.4792978515625,0.0050869140625000005,1.4991249376271671,0.00906,0.0767,10.152310094692755,1,-0.008808298654458913,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.01231884765625,0.3772314453125,0.0015888671875000002,1.9047387771007187,0.01188,0.11911,25.033253957923844,1,0.10771702280823015,super-threshold (R0 > 1.5)
0.012043457031250001,0.4792978515625,0.0015888671875000002,1.4656116606513965,0.00282,0.04372,30.402348860820368,1,0.005370833663209697,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.01819384765625,0.0074814453125000005,0.007336914062500001,141.84442614663504,0.87048,0.83362,23.533537823626602,1,0.47265300026587576,super-threshold (R0 > 1.5)
0.01791845703125,0.0074814453125000005,0.007336914062500001,139.69740227860405,0.86886,0.83225,24.969106360725956,1,0.4430876520660516,super-threshold (R0 > 1.5)
0.01819384765625,0.3560478515625,0.007336914062500001,2.9805019534367667,0.05837,0.32628,10.690437501019616,1,0.29561413999657526,super-threshold (R0 > 1.5)
0.01819384765625,0.0074814453125000005,0.0038388671875000005,141.84442614663504,0.86963,0.83374,24.154857168038557,1,0.5066979685873466,super-threshold (R0 > 1.5)
0.01791845703125,0.3560478515625,0.0038388671875000005,2.9353876757271413,0.05511,0.30956,11.428686591353479,1,0.40409813492444163,super-threshold (R0 > 1.5)
0.00644384765625,0.2539814453125,0.0028369140625000002,1.4798459237661596,0.00475,0.05778,20.532552282307403,1,0.0036676274322256616,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.00616845703125,0.2539814453125,0.0028369140625000002,1.4166017697156852,0.00493,0.05559,34.87423308114538,1,0.01264213664140862,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.00644384765625,0.1095478515625,0.0028369140625000002,3.4309518735153506,0.07396,0.39527,33.65947068948052,1,0.17242438335404034,super-threshold (R0 > 1.5)
0.00644384765625,0.2539814453125,0.008338867187500001,1.4798459237661596,0.00833,0.07516,0.0,1,0.0,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.00616845703125,0.1095478515625,0.008338867187500001,3.284323332433085,0.06797,0.37115,30.861247596595913,1,0.11314053844398833,super-threshold (R0 > 1.5)
0.00938134765625,0.0691064453125,0.0039619140625,7.9180803139100036,0.26501,0.7981,29.288913882557686,1,0.3014588974180762,super-threshold (R0 > 1.5)
0.00323095703125,0.0691064453125,0.0039619140625,2.727004498888382,0.04349,0.27656,66.60437221869478,1,0.05245855901240369,super-threshold (R0 > 1.5)
0.00938134765625,0.0479228515625,0.0039619140625,11.41815159892082,0.37293,0.90348,29.48752358766597,1,0.3224261628742503,super-threshold (R0 > 1.5)
0.00938134765625,0.0691064453125,0.0072138671875000004,7.9180803139100036,0.27189,0.80003,26.460281546637663,1,0.2768044386629902,super-threshold (R0 > 1.5)
0.00323095703125,0.0479228515625,0.0072138671875000004,3.932436846409154,0.10164,0.47265,63.91064648193529,1,0.07129300955776258,super-threshold (R0 > 1.5)
0.02113134765625,0.3156064453125,0.008461914062500001,3.90530140635706,0.10295,0.47516,9.838127813373138,1,0.4705848910160295,super-threshold (R0 > 1.5)
0.01498095703125,0.3156064453125,0.008461914062500001,2.768642753620652,0.0443,0.27836,12.106222714729626,1,0.17209973166590464,super-threshold (R0 > 1.5)
0.02113134765625,0.2944228515625,0.008461914062500001,4.186286112620629,0.11594,0.5098,9.773945723036837,1,0.46005593772847575,super-threshold (R0 > 1.5)
0.02113134765625,0.3156064453125,0.0027138671875,3.90530140635706,0.0994,0.4659,11.019731290056594,1,0.6751954949328588,super-threshold (R0 > 1.5)
0.01498095703125,0.2944228515625,0.0027138671875,2.967845373323325,0.05282,0.31231,15.115339752672327,1,0.2964274487715445,super-threshold (R0 > 1.5)
0.01525634765625,0.1923564453125,0.0017119140625000001,4.626121771059287,0.12842,0.55085,17.15759235263726,1,0.4701731272132885,super-threshold (R0 > 1.5)
0.00910595703125,0.1923564453125,0.0017119140625000001,2.7611632231872187,0.04159,0.27104,23.905598117902215,1,0.2630576684898304,super-threshold (R0 > 1.5)
0.01525634765625,0.4176728515625,0.0017119140625000001,2.130529518820242,0.0215,0.15797,14.521039015162195,1,0.21569948730639524,super-threshold (R0 > 1.5)
0.01525634765625,0.1923564453125,0.0049638671875,4.626121771059287,0.13373,0.56122,14.753294636505007,1,0.4484661908466312,super-threshold (R0 > 1.5)
0.00910595703125,0.4176728515625,0.0049638671875,1.2716353015355641,0.00496,0.02695,0.0,1,0.0,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.00350634765625,0.4388564453125,0.006211914062500001,0.4660212493336991,0.00621,0.00823,0.0,0,0.0,sub-threshold  (R0< 0.5)
0.02085595703125,0.4388564453125,0.006211914062500001,2.7719211283651704,0.04603,0.28575,8.761057369074187,1,0.3241057825714039,super-threshold (R0 > 1.5)
0.00350634765625,0.1711728515625,0.006211914062500001,1.1947947764835987,0.00621,0.03171,0.0,1,0.0,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.00350634765625,0.4388564453125,0.009463867187500002,0.4660212493336991,0.00946,0.01141,0.0,1,0.0,sub-threshold  (R0< 0.5)
0.02085595703125,0.1711728515625,0.009463867187500002,7.106707880231716,0.24422,0.76935,11.5020842104493,1,0.540489591762087,super-threshold (R0 > 1.5)
0.00497509765625,0.0382939453125,0.0011494140625,7.577827653229201,0.25391,0.77723,58.369721272741685,1,0.18580321977903447,super-threshold (R0 > 1.5)
0.013512207031250001,0.0382939453125,0.0011494140625,20.581138938837146,0.53507,0.97806,25.946321156759247,1,0.5048776768587263,super-threshold (R0 > 1.5)
0.00497509765625,0.4484853515625,0.0011494140625,0.6470332124099925,0.00115,0.00141,0.006489107890682799,0,0.0,near-threshold (0.5 ≤ R0 ≤ 1.5)
0.00497509765625,0.0382939453125,0.007776367187500001,7.577827653229201,0.25699,0.78405,48.560901390285665,1,0.14150290369874896,super-threshold (R0 > 1.5)
0.013512207031250001,0.4484853515625,0.007776367187500001,1.7573216298971166,0.01445,0.10835,7.659478983540027,1,-0.034477243327202714,super-threshold (R0 > 1.5)
