tau,gamma,rho,R0,true_peak_I,pred_peak_I
0.019936552652902596,0.49032397214153095,0.004762256315739811,2.358277627785617,3149.419362163635,3057.1702473260766
0.016254825324368668,0.42179047365065225,0.0014151362540276544,2.2351853057597495,2701.670837758829,2303.538580307493
0.007357693647677172,0.1818839397815823,0.004224948697935083,2.3462557061263336,2446.041730553037,2774.30434532842
0.002826279198074296,0.567402090074543,0.006920564273149022,0.28890304839513975,692.0,692.5607633413393
0.0027649804231698787,0.4108792703863992,0.009590889183817026,0.3903065355257247,959.0,958.365657831294
0.019229702534352078,0.9696682318020597,0.0014172167031564244,1.1502106704265975,142.0,144.0670935390554
0.001409609319536536,0.1853379944432107,0.0056463011960175905,0.44112563524134984,565.0,543.8563666461387
0.001637476756143728,0.3659155562612849,0.008475990651546124,0.25955073576735155,848.0,875.3734116801429
0.012375907971470153,0.794037806777126,0.009878953106358626,0.9039905357387408,988.0,964.8403863463484
0.017852784360743255,0.47351825848919005,0.001688722994146936,2.1867403724343344,2379.2228081365342,2036.5995708633125
0.012151785047846043,0.9508348821474591,0.007778097550650011,0.7412470303816292,778.0,761.6106211108698
0.0049036525816723514,0.6363607663821672,0.008838876410166233,0.44693492239305105,884.0,880.5460288835349
0.012077543486945879,0.38141484955454985,0.00761968139519441,1.8365764286864137,1786.1942502826212,1488.276816897874
0.011765877203042797,0.7019767343075586,0.00812325314277738,0.9721417312350578,812.0,802.3162925729184
0.019128965035299556,0.7678418691342237,0.0037124778786443383,1.444932891323526,585.7382120831268,473.79318902073805
0.013812345303511967,0.9563924194459711,0.0029061346317282594,0.8376436401156054,291.0,272.61213558358423
0.0035368941832963022,0.3590632354973865,0.0036365960773326335,0.5713195959675985,364.0,401.148254669466
0.00229105045870571,0.3193781487025283,0.0030907151621130946,0.41606142168698484,309.0,349.69936742746245
0.0008636169132272037,0.9624729225637828,0.00681770343832771,0.052042794963780795,682.0,636.7727158986733
0.001249651721725245,0.6510976856106883,0.005712945858025201,0.11131939409688234,571.0,559.7705533990559
0.005129749560643142,0.2985052776448131,0.007274789180151697,0.9967176354962918,727.0,765.8597428498687
0.0044509295311764546,0.6596961437328295,0.0078008903697577535,0.3913224524058825,780.0,783.9257629575545
0.004819726877303515,0.20937559421424193,0.006628262937059716,1.335132492078148,663.0,727.5551999669165
0.016111494224330884,0.42224595218747046,0.004843266059881203,2.213086141312026,2604.6993869971843,2497.643614451238
0.00797872451042193,0.5725433062066525,0.003533877755406796,0.8082637882372555,353.0,369.65708668392847
0.009872255530645179,0.4338576880508872,0.0025485314078987934,1.3197664500306403,318.193945598546,274.09211562039127
0.008306313494638494,0.7713910919176331,0.005837222373003693,0.6245420613963666,584.0,564.2588226883025
0.009013930999942611,0.736308551293718,0.0002896135822312192,0.7100392859461986,29.0,68.4800963822409
0.011705472499568211,0.7516247580820683,0.006922333187449655,0.9032664207434565,692.0,702.6481867851523
0.006296002622796382,0.513990359700496,0.0028557221919997006,0.7104572006661272,286.0,289.805617675079
0.0017282479068383236,0.6331910446422956,0.00836826950938722,0.15830669028689404,837.0,827.9650706520654
0.0012768152353726065,0.7637435315052846,0.004408563612376098,0.09696354940729048,441.0,422.2119110106253
0.0017931819306956144,0.8019538941910134,0.0005875472805389048,0.12968894188769076,59.0,75.73050743310222
0.012583768993162539,0.4907999148478629,0.00821491743285327,1.4870797233729496,946.118078741364,805.4607719597213
0.0027055519071718936,0.3771180768852293,0.0011195111348161022,0.4161084292539148,112.0,164.71038613651535
0.008235860243667154,0.8499089924205153,0.002414128874475757,0.5620365220189951,241.0,236.1761587984759
0.0021049681838720916,0.9069734636534762,0.004225162714446315,0.13461050356730953,423.0,400.2570243111849
0.005609559626186606,0.6788670741683008,0.0037150400209147692,0.4792609196983431,372.0,375.29119578451014
0.012686886973275554,0.36209840886038547,0.008853688260517122,2.0321532115146637,2156.475729546328,2227.0926720143552
0.005301846236544795,0.6168157154791075,0.0059770680949551395,0.4985396351011323,598.0,598.3174166688331
0.00036168993878451226,0.6474461665107251,0.002058626430153358,0.032401174853746245,206.0,234.04854795026392
0.0022430241923392796,0.4332857557244502,0.004110534970689688,0.3002531272650765,411.0,435.4509305759667
0.015638482027415298,0.5474548405726345,0.002945601677036809,1.6568160337048754,696.9504366988795,709.560433821969
0.0065626040510441104,0.36397849745609506,0.0044892298817918634,1.0457514320786823,449.0,406.0631187847919
0.0012063885860770051,0.3634220878003294,0.007221646762181727,0.19253243086014452,722.0,738.0543395730512
0.004619387239923053,0.3302911358038571,0.005563511692257504,0.811176658627144,556.0,568.4976447009966
0.018445577621109096,0.799915185453213,0.008301642213283613,1.3374461711439813,830.0,849.9935393572339
0.0045092238735705194,0.16550064661057537,0.007220988868703692,1.5802656365596233,954.9866293825775,975.4641278090824
0.011925329539411568,0.6811488223788076,0.0003797928945666576,1.0154449226973965,38.0,61.88848140546099
0.013412590195719172,0.8841905294470919,0.006338797382335263,0.8798219449807642,634.0,615.1004933646633
0.017204755149582165,0.5731898261711055,0.0020914579847559015,1.7409168012306715,1076.6071234678545,782.6685755125757
0.011490310132434763,0.3166899257208661,0.0008682399039264443,2.1043864472929963,2049.2207130037687,2047.3177213355243
0.007153471800066029,0.11415170704306836,0.0014354270853589035,3.63464879458431,8170.667903109927,8548.236176943074
0.008175682427151975,0.29921948004185955,0.007037861254596671,1.5847550457225494,1107.294021440514,732.4374582049467
0.018467686805132687,0.7610963080256733,0.0089274834322918,1.4073459868387177,893.0,898.9003039646434
0.008936632921909647,0.3834641870927367,0.007066643299674346,1.3516900063092678,707.0,682.6341311136579
0.006162464058005779,0.3187780144428654,0.008800390888404919,1.1212282502888735,880.0,928.271404687388
0.01998154667350664,0.9149298044189551,0.0029480087495821427,1.2666870195570763,295.0,274.47332397196175
0.01601060073379253,0.28882144220689904,0.00961712574655102,3.215186640799154,7103.844773538202,6614.078044812624
0.019967496164709584,0.8637265741978735,0.007192291172953633,1.3408349495656946,719.0,705.6920647260937
0.010505195178975815,0.6645689721591862,0.001828683112106849,0.9168368459950452,183.0,161.28685743923023
0.013484362402204788,0.36062263238957004,0.0044308756580886165,2.168729716561454,2343.6849569337605,2203.710975763553
0.00209870069196825,0.6158050376118396,0.009579759387401585,0.19766749652815474,958.0,925.5742453816488
0.014987772304203032,0.44386543638281845,0.008496850826316318,1.9584556993846283,1932.125200182191,1861.0398624095828
0.003927944719970644,0.3060193015330537,0.005562154451753096,0.7444654393268394,556.0,607.4216112245525
0.005345667524900102,0.20967593563946854,0.006202138507878997,1.4787043420057766,842.0778846340191,705.8698218957893
0.008618746874195154,0.40001774392769346,0.0043547513564336894,1.2496628619396388,435.0,455.3596786850372
0.013746591661446022,0.38248902675592433,0.007068955781453229,2.084510301187405,2002.4612763568591,2119.2438185556275
0.006124421207073372,0.36691165349694266,0.008228508560580279,0.9681252329403474,823.0,854.0800520216367
0.012300572134393025,0.9819151403691402,0.0029226144945172956,0.7265731573571501,292.0,271.0976275848518
0.012873660889596263,0.9397170402390442,0.0032970624995170782,0.794571450366214,330.0,305.28438100896835
0.006854552927820045,0.34168199477516387,0.008596219857454316,1.1635499554934718,860.0,890.3616219403264
0.00493133092815479,0.9119247230107133,0.006070827280424832,0.31364123223756235,607.0,574.4825842670074
0.005960474163398675,0.7330621097352286,0.006155410402649026,0.47159373931083104,616.0,606.6396562388701
0.015055954655551217,0.8291106795387121,0.007655405081637072,1.0532313617137503,766.0,750.5539070676886
0.013307020917835042,0.9338943870148892,0.0021656680732091826,0.8264395031877704,217.0,203.55173797974197
0.006610360997212484,0.5185453936596349,0.007455137478614293,0.7393777719872726,746.0,755.18600337431
0.0040662953961356696,0.38667737437516786,0.003952368519766851,0.6099274190970472,395.0,420.5505746404146
0.018270514103348994,0.5451721715890594,0.00789531385480812,1.9437709281922337,1921.6083646951056,1654.3723052649325
0.01727786187956317,0.4642801722295055,0.0009181797692060243,2.1584294332502583,2255.9516847351006,1863.1330266474833
0.012416203813224447,0.9049546476593959,0.008845351802148836,0.7957744877377125,885.0,882.4406069122012
0.017518504264669797,0.8906061408853633,0.003658063248342829,1.140878330729627,366.0,405.5144885222211
0.008905360882787141,0.5520802457111319,0.00598297267508335,0.9355722020742455,598.0,601.1000678425517
0.017704598064469963,0.2999223059789203,0.006161283360266438,3.4237756487889572,7281.761871091679,8011.006001888433
0.013052977606820124,0.17212907861861632,0.009250450987658372,4.398284748116273,12050.87889667647,12368.681825748583
0.014706532797072933,0.7046979762577883,0.009445120406159812,1.2104176980326655,945.0,921.387143952422
0.0021187311633195332,0.51809672071783,0.009402383255886243,0.23718815919597436,940.0,926.05619144107
0.016646978161559692,0.7950294518590594,0.008748310552549746,1.2144515289499334,875.0,899.5450316258465
0.01143271678372044,0.37858320161717146,0.008660745147209043,1.7515240259559084,1125.9404338013812,1336.4970801423685
0.00435323637972059,0.11343612486208057,0.0020840908856577032,2.225813957685677,2234.151033937006,2477.4720611660246
0.0005376621232845571,0.9198225548607643,0.008986927682370855,0.03390262935575087,899.0,800.1406971977888
0.006227165726537135,0.42695124091356307,0.004398600005653829,0.845941122846565,440.0,408.3934497397712
0.009088678538906273,0.6273638883413051,0.008040829568493705,0.8402513518116009,804.0,812.4387204061999
0.006565335668071301,0.8749275065476915,0.007305691989196427,0.4352240224457716,731.0,705.4090106034377
0.004687040345808692,0.6088617919880721,0.002036087660699422,0.44648612153713496,204.0,208.73883945012523
0.013359840810596916,0.7620868331722895,0.00282976909569327,1.0167749044936476,283.0,255.04270571277908
0.019115564840182047,0.5863718775060618,0.005536498305883923,1.8907843354392404,1540.482953985104,1526.876347958038
0.005528567578323894,0.7448823233546238,0.001301274038603987,0.43047996910261943,130.0,127.16723967524308
0.016345890889414877,0.5516117114005421,0.008865577059471713,1.71871200700024,1106.624456075797,1192.09549528494
0.011750928915444957,0.2958206976623234,0.009951394016325592,2.303942497876856,2849.8433960436596,3439.2871014124275
0.006878970744174455,0.9808598423917143,0.0060868247546856874,0.4067658659459955,609.0,579.6086497155078
0.004336883993853896,0.07361327885293738,0.009119044715260564,3.4170366483205337,7669.778773038978,5996.977804033064
0.0038145339236426816,0.4582129042447875,0.0008097678853296214,0.4828387972528217,81.0,123.23332388075738
0.003316565819235715,0.1816467867040398,0.0056317512625701435,1.0589827709371387,563.0,563.4747634077007
0.015525749500953886,0.6992036523401244,0.008212067532338607,1.2878843925393064,821.0,814.7822880784513
