sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
348,0.008603,0.240792,0.009457,0.9509,95.0,0.0,280.3333333333333,280.3333333333333,1
349,0.008489,0.265345,0.009477,0.8515,95.0,0.0,166.66666666666666,166.66666666666666,1
350,0.009086,0.239107,0.00995,1.0114,100.0,0.0,304.3333333333333,304.3333333333333,1
351,0.008213,0.224714,0.009712,0.9728,97.0,0.0,281.6666666666667,281.6666666666667,1
352,0.009112,0.196329,0.009835,1.2353,98.0,0.0,254.66666666666666,254.66666666666666,0
353,0.008218,0.201051,0.009308,1.0879,93.0,0.0,314.6666666666667,314.6666666666667,1
354,0.008227,0.23925,0.009096,0.9153,91.0,0.0,215.66666666666666,215.66666666666666,1
355,0.008382,0.237999,0.01,0.9374,100.0,0.0,199.0,199.0,1
356,0.008566,0.250651,0.01,0.9096,100.0,0.0,205.66666666666666,205.66666666666666,1
357,0.00859,0.22151,0.008961,1.0321,90.0,0.0,194.33333333333334,194.33333333333334,1
358,0.00873,0.230299,0.01,1.0089,100.0,0.0,257.0,257.0,1
359,0.008948,0.219121,0.008848,1.0869,88.0,0.0,378.6666666666667,378.6666666666667,1
360,0.009636,0.260182,0.009153,0.9857,92.0,0.0,332.3333333333333,332.3333333333333,1
361,0.007941,0.270288,0.01,0.7819,100.0,0.0,172.33333333333334,172.33333333333334,0
362,0.008937,0.258222,0.008695,0.9211,87.0,0.0,202.66666666666666,202.66666666666666,1
363,0.009143,0.223688,0.009573,1.0878,96.0,0.0,248.0,248.0,1
364,0.009015,0.22302,0.008467,1.0758,85.0,0.0,403.3333333333333,403.3333333333333,1
365,0.009152,0.271305,0.008379,0.8978,84.0,0.0,198.0,198.0,1
366,0.008544,0.23486,0.008547,0.9683,85.0,0.0,154.0,154.0,1
367,0.008002,0.221903,0.00876,0.9598,88.0,0.0,185.33333333333334,185.33333333333334,1
368,0.0087,0.253219,0.00886,0.9144,89.0,0.0,181.0,181.0,1
369,0.008874,0.266002,0.009224,0.8879,92.0,0.0,188.66666666666666,188.66666666666666,1
370,0.010167,0.231884,0.008694,1.167,87.0,0.0,291.6666666666667,291.6666666666667,1
371,0.010048,0.264814,0.008501,1.0099,85.0,0.0,191.0,191.0,1
372,0.009461,0.216074,0.008698,1.1654,87.0,0.0,308.3333333333333,308.3333333333333,1
373,0.00967,0.247304,0.009191,1.0407,92.0,0.0,211.66666666666666,211.66666666666666,1
