batch_size,mean_batch_time_s,std_s,sem_s,ci95_lower_s,ci95_upper_s,mean_per_query_time_s,throughput_queries_per_s,speedup_vs_abm
1,0.0004496327012311667,0.0004090469898305204,1.2935201579001769e-05,0.0004242494188645727,0.0004750159835977607,0.0004496327012311667,2224.037524988372,33.360562874825575
35,0.0008258175011724234,0.00034086608314148057,1.0779131998274015e-05,0.0008046651635371801,0.0008469698388076667,2.3594785747783524e-05,42382.245411740565,635.7336811761085
64,0.0004998747992794961,0.00029714160182800703,9.396442493673543e-06,0.0004814357705870043,0.0005183138279719878,7.810543738742126e-06,128032.059412172,1920.48089118258
1024,0.0020891936983680353,0.0005907267134897137,1.8680418893332084e-05,0.002052536337862309,0.0021258510588737616,2.0402282210625345e-06,490141.24482564407,7352.118672384661
8192,0.010467106799595057,0.0011200156078947122,3.541800335885356e-05,0.010397604583133414,0.0105366090160567,1.2777229979974435e-06,782642.2484116552,11739.633726174827
