tau,gamma,rho,R0
0.01721890171479227,0.8838406259912137,0.003210446090828874,1.1299506608874526
0.016983675022002754,0.8924938147258117,0.003263353166857399,1.103708658842396
0.01721890171479227,0.8838406259912137,0.003210446090828874,1.1299506608874526
0.010167951586111721,0.2627189976346029,0.003307540988198441,2.244760361086292
0.009526276266662621,0.2615688310793089,0.0033512710656881037,2.1123465712124707
0.010167951586111721,0.2627189976346029,0.003307540988198441,2.244760361086292
0.008854447177977058,0.8146784955053556,0.0023940082728579858,0.6303811124953074
0.008619358905995219,0.8250535642470056,0.002246643615267332,0.6059277096802592
0.008854447177977058,0.8146784955053556,0.0023940082728579858,0.6303811124953074
0.008079109515553263,0.21433955296289922,0.007366612680848452,2.1861963665810147
0.008335969341599872,0.21516742691072535,0.007058324778775134,2.2470233006662053
0.008079109515553263,0.21433955296289922,0.007366612680848452,2.1861963665810147
0.007012180664913343,0.9098397625787621,0.006751485981744819,0.44700890782377356
0.0069988296650765666,0.8601633861876148,0.007108600244267721,0.47192443562797826
0.007012180664913343,0.9098397625787621,0.006751485981744819,0.44700890782377356
0.01529725513176329,0.7787297888873869,0.00833101382699499,1.1393435955621005
0.015293914060424584,0.7445719667956331,0.008414877638199545,1.1913516155089126
0.01529725513176329,0.7787297888873869,0.00833101382699499,1.1393435955621005
0.012920355353275096,0.42162912308606637,0.006494254587295928,1.7773454665677493
0.014032527906600478,0.38437494899080465,0.005674400109223505,2.117428882188413
0.012920355353275096,0.42162912308606637,0.006494254587295928,1.7773454665677493
0.008999333215550184,0.7789383615909099,0.006139622072441697,0.6700932348945463
0.008772697740673395,0.8115585584155018,0.006211483818713168,0.6269621134332897
0.008999333215550184,0.7789383615909099,0.006139622072441697,0.6700932348945463
0.0027998867313289164,0.2919241614914321,0.0055302596174364215,0.5562863641961454
0.002741218917434411,0.31576205920965195,0.005463215971963081,0.5035142525012263
0.0027998867313289164,0.2919241614914321,0.0055302596174364215,0.5562863641961454
0.016771504193093333,0.7412629843778711,0.009652946252854445,1.3122835804567023
0.016941896633570534,0.7600513990941586,0.009716555677489693,1.2928467810442885
0.016771504193093333,0.7412629843778711,0.009652946252854445,1.3122835804567023
0.0005819303004611224,0.17890291572112957,0.0005885412176459485,0.18866074535843227
0.0006291931902778359,0.1868735339904818,0.001,0.1952828967100993
0.0005819303004611224,0.17890291572112957,0.0005885412176459485,0.18866074535843227
0.002364310801829806,0.8887770181905156,0.0031731432981756606,0.15429069800355028
0.002437174690554855,0.8927086661861369,0.003032495585780464,0.15834519973474492
0.002364310801829806,0.8887770181905156,0.0031731432981756606,0.15429069800355028
0.009144892253287351,0.6317558290757355,0.0005944926715636237,0.839570806124024
0.008935617032419735,0.5942802684747315,0.001,0.8720898461100111
0.009144892253287351,0.6317558290757355,0.0005944926715636237,0.839570806124024
0.010923899842248248,0.9758649177041151,0.0076349530679253475,0.6492560387773909
0.011320100424874299,1.0,0.007614346659643333,0.6565658246427093
0.010923899842248248,0.9758649177041151,0.0076349530679253475,0.6492560387773909
0.015864264884399633,0.6204973510330549,0.004729415622641322,1.4828868515929603
0.015686477700095108,0.6095602901225479,0.004531947194596181,1.4925770614463816
0.015864264884399633,0.6204973510330549,0.004729415622641322,1.4828868515929603
0.017723957510109804,0.8910674383196509,0.009182562937392027,1.1536607571755977
0.017207867551449367,0.9331871442182322,0.01,1.0695135741718502
0.017723957510109804,0.8910674383196509,0.009182562937392027,1.1536607571755977
0.0010915512727061858,0.63862948545977,0.003718825430557115,0.09913412277132784
0.001051793640200998,0.6610066673645085,0.003432676249612941,0.09228958517905167
0.0010915512727061858,0.63862948545977,0.003718825430557115,0.09913412277132784
0.004583749006986349,0.9110702943687182,0.005542539542739546,0.29180782651839304
0.0046028266294993545,0.9033406294051328,0.0053780519641778105,0.29552965495060646
0.004583749006986349,0.9110702943687182,0.005542539542739546,0.29180782651839304
0.019459594830142198,0.7678599966388314,0.007003337570233728,1.4698727698913052
0.019523653653167373,0.7891338085979862,0.006998747552028325,1.43495551647386
0.019459594830142198,0.7678599966388314,0.007003337570233728,1.4698727698913052
0.014844872152341525,0.9911389831150967,0.0034362430951625314,0.8687001515465808
0.01593030144972722,0.9680639629234582,0.0035420116426025275,0.9544384663322432
0.014844872152341525,0.9911389831150967,0.0034362430951625314,0.8687001515465808
0.005365393920933726,0.5736681919600416,0.009822253582060495,0.5424613945404734
0.005764829292234873,0.5741921468480574,0.009833390973385519,0.5823139532385506
0.005365393920933726,0.5736681919600416,0.009822253582060495,0.5424613945404734
0.006007769183808618,0.3719445818306866,0.003055637082603629,0.9368347589467468
0.0059799619945887115,0.3519119847092955,0.002891501820692749,0.9855810849200208
0.006007769183808618,0.3719445818306866,0.003055637082603629,0.9368347589467468
0.005441860141554299,0.4323225879581148,0.0001618163689495125,0.7300749417255262
0.005638053397861579,0.48637764831162433,0.001,0.6723316711019103
0.005441860141554299,0.4323225879581148,0.0001618163689495125,0.7300749417255262
0.005039288523036357,0.6577096748436714,0.005080907810239146,0.4443886801658792
0.004896471043716132,0.6312861424329443,0.005141947173565863,0.44986781975132906
0.005039288523036357,0.6577096748436714,0.005080907810239146,0.4443886801658792
0.0018314865718329905,0.2921027928380924,0.00013184134832935798,0.36366040918065734
0.0018444638375824953,0.279684919914015,0.001,0.3824979287859846
0.0018314865718329905,0.2921027928380924,0.00013184134832935798,0.36366040918065734
0.0006882750491863116,0.3864375252486196,0.005115730991364318,0.10330247515978956
0.000692657447148715,0.3608965914269366,0.005244907469560864,0.11131757098558996
0.0006882750491863116,0.3864375252486196,0.005115730991364318,0.10330247515978956
0.01732733374959915,0.3033781857416444,0.00016220758804895782,3.312648716056968
