tau,gamma,rho,R0
0.01766522135191564,0.45516610074514974,0.0039087611222475655,1.3195568057064537
0.017007012427665787,0.4756081288043367,0.004315238526832882,1.2157875097599975
0.01766522135191564,0.45516610074514974,0.0039087611222475655,1.3195568057064537
0.009228213957299832,0.4002591507866251,0.007523695469532145,0.783890321886624
0.009075605862449381,0.38682209922991545,0.007851362004207467,0.7977067492720313
0.009228213957299832,0.4002591507866251,0.007523695469532145,0.783890321886624
0.010203312212792592,0.30087264146481274,0.005749941624968548,1.1530214696357488
0.00992707541236194,0.33157964251119143,0.005393153787937833,1.0179170273063856
0.010203312212792592,0.30087264146481274,0.005749941624968548,1.1530214696357488
0.012070829844344119,0.4507672628384782,0.002325167308331367,0.9104658845972143
0.013293396046912943,0.4455407399329451,0.00241786395019969,1.0144425079131112
0.012070829844344119,0.4507672628384782,0.002325167308331367,0.9104658845972143
0.008392009565490683,0.34402849363309446,0.003896954857927803,0.8293741085614413
0.008441668304068901,0.33130448427206466,0.0036823626783893415,0.8663230833381861
0.008392009565490683,0.34402849363309446,0.003896954857927803,0.8293741085614413
0.01980178471156299,0.33905531421085316,0.0099157831088212,1.9856957020719381
0.019224445842153676,0.3375522601260506,0.01,1.936385075274396
0.01980178471156299,0.33905531421085316,0.0099157831088212,1.9856957020719381
0.005549435458861399,0.2793603274763617,0.0020282764234735096,0.6754030083861959
0.005710576061990379,0.2676964093433426,0.0020607771870843213,0.7252976854786547
0.005549435458861399,0.2793603274763617,0.0020282764234735096,0.6754030083861959
0.021954830711928216,0.4579465091548069,0.0019579609452154783,1.630024968600034
0.02126410813904965,0.4528194950444964,0.0017604334237048753,1.5966178237459594
0.021954830711928216,0.4579465091548069,0.0019579609452154783,1.630024968600034
0.008212444485909721,0.26042828499605136,0.006066470736691651,1.0721689179236584
0.00780278981638611,0.2751641740563238,0.005676797840365281,0.9641329750392
0.008212444485909721,0.26042828499605136,0.006066470736691651,1.0721689179236584
0.0177374865167928,0.3470253003360231,0.008727421265423854,1.7378402698218278
0.017928670772368267,0.34024492095116465,0.009054299744667435,1.7915765048202243
0.0177374865167928,0.3470253003360231,0.008727421265423854,1.7378402698218278
0.0028641045254485104,0.25070039462679183,0.0015190900901221127,0.38842999832614783
0.0028610158503273708,0.2313849296117525,0.0016069796828052899,0.4204013592170864
0.0028641045254485104,0.25070039462679183,0.0015190900901221127,0.38842999832614783
0.0028284105460113164,0.43583030147097784,0.00814249107427844,0.22065000583900085
0.0026070015680000665,0.41182049819231686,0.008358569407051935,0.21523468040342422
0.0028284105460113164,0.43583030147097784,0.00814249107427844,0.22065000583900085
0.0037923504570420144,0.25115801406912486,0.009453783405057686,0.513381649466065
0.003579136283746642,0.27048111297326977,0.008862207911127915,0.4499043660006378
0.0037923504570420144,0.25115801406912486,0.009453783405057686,0.513381649466065
0.023474679813551738,0.25824975841041564,0.006231090326769388,3.0905706110761995
0.02392982723567016,0.2707162015124967,0.0054894425056986225,3.005413497482262
0.023474679813551738,0.25824975841041564,0.006231090326769388,3.0905706110761995
0.006847313731690905,0.3067982546947091,0.005414626873350734,0.7588330875909173
0.006884916199655753,0.31900586035727824,0.005416244975844975,0.7338020390162241
0.006847313731690905,0.3067982546947091,0.005414626873350734,0.7588330875909173
0.005133184005430008,0.0972543525974771,0.007271263185073278,1.7945547065329779
0.0049123186028765435,0.0859983533137912,0.007482583321066586,1.9421166343544203
0.005133184005430008,0.0972543525974771,0.007271263185073278,1.7945547065329779
0.020170113863515485,0.30077985343825864,0.0038727551939721997,2.280019301559697
0.02095508829252633,0.2747675538988348,0.004170890367532734,2.593002673846334
0.020170113863515485,0.30077985343825864,0.0038727551939721997,2.280019301559697
0.00341358035892564,0.20240669256255772,0.006913988666985779,0.5734085703099991
0.0035155164901246407,0.19956722883167416,0.006968939412396851,0.5989338097441531
0.00341358035892564,0.20240669256255772,0.006913988666985779,0.5734085703099991
0.02054232213995183,0.44798314123147553,0.006624350211739431,1.5590741893509663
0.020628550967977218,0.4674336421101464,0.006899300384190283,1.5004712321197324
0.02054232213995183,0.44798314123147553,0.006624350211739431,1.5590741893509663
0.004048989552767503,0.1535085904169868,0.00551793191399842,0.8967944036235606
0.004209242118335494,0.16700688280098383,0.0055931628145233616,0.8569361311530553
0.004048989552767503,0.1535085904169868,0.00551793191399842,0.8967944036235606
0.0008881142891246773,0.09264659821058241,0.006191545715232694,0.3259254674586633
0.0008861104536220932,0.10891976718127555,0.006109340743788107,0.27660502958117267
0.0008881142891246773,0.09264659821058241,0.006191545715232694,0.3259254674586633
0.0032021220374895292,0.03594868752520875,0.009392599799142412,3.0285430921031042
0.0032725885181534194,0.039941100059246115,0.009746541936131654,2.7858023302354793
0.0032021220374895292,0.03594868752520875,0.009392599799142412,3.0285430921031042
0.011866322831629106,0.43746979323258817,0.009960483276179898,0.9222464785377444
0.012831728220801098,0.4256843271598217,0.009440228026340657,1.0248880019100117
0.011866322831629106,0.43746979323258817,0.009960483276179898,0.9222464785377444
0.014551514284406914,0.4531281022088023,0.002394964844861011,1.0918578725489259
0.013704366716404737,0.41547265837677194,0.002512454714092996,1.1214900883687393
